Track Name,,Line name,1150114XYLDN,Report Name,Wear_right,Operator,
Starting Km,101.800,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 01:34:32

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
602,101.649500,inf,inf,inf,inf,
603,101.649250,inf,inf,inf,inf,
604,101.649000,inf,inf,inf,inf,
605,101.648750,inf,inf,inf,inf,
606,101.648500,inf,inf,inf,inf,
607,101.648250,inf,inf,inf,inf,
608,101.648000,inf,inf,inf,inf,
609,101.647750,inf,inf,inf,inf,
610,101.647500,inf,inf,inf,inf,
611,101.647250,inf,inf,inf,inf,
612,101.647000,inf,inf,inf,inf,
613,101.646750,inf,inf,inf,inf,
614,101.646500,inf,inf,inf,inf,
615,101.646250,inf,inf,inf,inf,
616,101.646000,inf,inf,inf,inf,
617,101.645750,inf,inf,inf,inf,
618,101.645500,inf,inf,30.0,inf,
619,101.645250,inf,inf,inf,inf,
620,101.645000,inf,inf,30.0,inf,
621,101.644750,inf,inf,inf,inf,
622,101.644500,27.7,14.2,30.0,30.0,
623,101.644250,inf,inf,inf,inf,
624,101.644000,inf,inf,inf,inf,
